epoch,round,memory_len,round_time,idle_time,loss_actor,loss_critic,loss_critic1,loss_critic2,q1_mean,q2_mean,target_q_mean,critic_grad_norm,actor_grad_norm,bc_reg_term,policy_updated,critic_warmup,total_updates,return_test,return_train,episode_length_test,episode_length_train,sampling_duration,training_step_duration,wall_time
1,1,2417.0,12.168042,0.0,-2.48294,0.002924,0.001692,0.001232,0.362222,0.362377,0.305671,0.162073,0.099268,0.012143,0.5,0.0,2300.5,0.0,9.319401,81.0,147.14,0.023954,0.021838,1789805027.9799972
1,2,2781.0,23.968216,0.0,-2.485036,0.0037,0.001828,0.001872,0.3901,0.390035,0.33247,0.192522,0.125616,0.011368,0.5,0.0,2500.5,0.0,21.850004,81.0,338.045,0.023035,0.021713,1789805052.0005298
1,3,3094.0,9.741039,0.0,-2.48586,0.003258,0.001671,0.001587,0.414396,0.414425,0.356872,0.203333,0.094864,0.011518,0.5,0.0,2700.5,0.0,23.322857,81.0,359.685,0.022212,0.021469,1789805062.014421
1,4,3094.0,8.993565,0.0,-2.487662,0.004211,0.002146,0.002065,0.437479,0.437364,0.380286,0.214772,0.092049,0.010259,0.5,0.0,2900.5,0.0,21.350019,81.0,312.0,0.022864,0.022077,1789805071.0215156
1,5,3432.0,15.106131,0.0,-2.487644,0.004068,0.002098,0.00197,0.469002,0.469016,0.411236,0.223223,0.105754,0.011212,0.5,0.0,3100.5,0.0,21.720007,81.0,324.5,0.023569,0.02191,1789805086.0341618
1,6,3432.0,9.309601,0.0,-2.488085,0.004348,0.002184,0.002164,0.494741,0.49477,0.437463,0.274047,0.099301,0.01076,0.5,0.0,3300.5,0.0,22.089994,81.0,337.0,0.024505,0.021993,1789805095.041572
1,7,4384.0,42.802761,0.0,-2.48863,0.008529,0.004492,0.004037,0.550531,0.55035,0.488176,0.310007,0.108405,0.009957,0.5,0.0,3500.5,0.0,75.865875,81.0,834.34,0.022534,0.02135,1789805138.0789723
1,8,4384.0,8.565703,0.0,-2.488587,0.006769,0.003514,0.003255,0.582049,0.582007,0.519145,0.294245,0.094468,0.010586,0.5,0.0,3700.5,0.0,88.479973,81.0,951.0,0.021808,0.020983,1789805146.5858984
1,9,4505.0,9.417026,0.0,-2.487378,0.00688,0.003541,0.003339,0.615891,0.615662,0.552573,0.353195,0.079574,0.01119,0.5,0.0,3900.5,0.0,9.300002,81.0,120.0,0.024425,0.02262,1789805156.0924494
2,0,4505.0,8.85992,0.0,-2.487146,0.006328,0.003374,0.002954,0.640034,0.64006,0.577721,0.336529,0.073572,0.011923,0.5,0.0,4100.5,0.0,9.300002,81.0,120.0,0.023081,0.021183,1789805165.1005206
2,1,4505.0,9.204898,0.0,-2.485889,0.005945,0.003271,0.002674,0.673323,0.673392,0.611057,0.366528,0.077016,0.012939,0.5,0.0,4300.5,0.0,9.300002,81.0,120.0,0.023852,0.022132,1789805174.1080096
2,2,5082.0,9.200397,0.0,-2.486547,0.011438,0.005966,0.005473,0.712042,0.712176,0.649258,0.429653,0.085984,0.012463,0.5,0.0,4500.5,0.0,29.102493,81.0,322.92,0.023952,0.021993,1789805183.6161263
2,3,5205.0,8.734318,0.0,-2.48748,0.010037,0.005145,0.004892,0.757481,0.757428,0.692724,0.401572,0.074627,0.011889,0.5,0.0,4700.5,0.0,10.480002,81.0,122.0,0.022281,0.021355,1789805192.1219923
